Entry ID	Journal Title	Secondary Title	Year	Month	Issue	Section	Author, Original	Author LN, Original	Author FN, Original	Contribution Title	Genre (As indicated in ToC)	Start Page	End Page	Notes	Publisher	Source
1993_01_01	Gay, Slaviane!		1993		1					Ot redaktsii		1				
1993_01_02	Gay, Slaviane!		1993		1	SMERT' ChAIKOVSKOGO. TOChKI ZRENIIa.	Dzhoel Shpigel'man	Shpigel'man	Dzhoel	Sud, prigovor i smert' Chaikovskogo.		2		Materialy amerikanskogo zhurnala High Fidelity za 1981 god. Perevod s angl. S.Shcherbakova		
1993_01_03	Gay, Slaviane!		1993		1	SMERT' ChAIKOVSKOGO. TOChKI ZRENIIa.	Nina Berberova	Berberova	Nina	Peresmotr versii "samoubiistva" Chaikovskogo : Oproverzhenie.		6		Materialy amerikanskogo zhurnala High Fidelity za 1981 god. Perevod s angl. S.Shcherbakova		
1993_01_04	Gay, Slaviane!		1993		1	SMERT' ChAIKOVSKOGO. TOChKI ZRENIIa.	Mal'kol'm Braun	Braun	Mal'kol'm	Peresmotr versii "samoubiistva" Chaikovskogo : Oproverzhenie.		6		Materialy amerikanskogo zhurnala High Fidelity za 1981 god. Perevod s angl. S.Shcherbakova		
1993_01_05	Gay, Slaviane!		1993		1	SMERT' ChAIKOVSKOGO. TOChKI ZRENIIa.	Simon Karlinskii	Karlinskii	Simon	Peresmotr versii "samoubiistva" Chaikovskogo : Oproverzhenie.		6		Materialy amerikanskogo zhurnala High Fidelity za 1981 god. Perevod s angl. S.Shcherbakova		
1993_01_06	Gay, Slaviane!		1993		1	KUL'TUROLOGIIa.	Gennadii Trifonov	Trifonov	Gennadii	Sovetskie gomoseksualisty: vchera,serodiia, zavtra		9				
1993_01_07	Gay, Slaviane!		1993		1	KUL'TUROLOGIIa.	Ol'ga Zhuk	Zhuk	Ol'ga	Lesbiiskaia subkul'tura. Istoricheskie korni lesbiianstva v byvshem SSSR. (Postanovka voprosa).		16				
1993_01_08	Gay, Slaviane!		1993		1	LITERATURNAIa MOZAIKA.	Gennadii Trifonov	Trifonov	Gennadii	Pis'ma iz tiur'my. Stikhi. Predislovie D. Dara	Стихи.	21		Predislovie D. Dara		
1993_01_09	Gay, Slaviane!		1993		1	LITERATURNAIa MOZAIKA.	Gennadii Trifonov	Trifonov	Gennadii	Zhizn' ili smert'. (Paolo Pazolini)		28				
1993_01_10	Gay, Slaviane!		1993		1	LITERATURNAIa MOZAIKA.	Vladimir Veselkin	Veselkin	Vladimir	Pis'mo k samomu sebe. Stikhi. Risunki avtora. Pridslovie G. Trifonova.	Стихи. Рисунки автора.	34		Predislovie G. Trifonova		
1993_01_11	Gay, Slaviane!		1993		1	LITERATURNAIa MOZAIKA.	Ol'ga Krauze	Krauze	Ol'ga	Stikhi. Baba. Rasskaz.	Рассказ.	44				
1993_01_12	Gay, Slaviane!		1993		1	LITERATURNAIa MOZAIKA.	Iurii Piriutko	Piriutko	Iurii	Mertviak na kolu. Kinostsenarii.	Киносценарий.	51				
1993_01_13	Gay, Slaviane!		1993		1	NOVYE IMENA.	Ol'ga Savchuk	Savchuk	Ol'ga	Stikhi. Fa-Minor. Rasskaz.	Рассказ.	55				
1993_01_14	Gay, Slaviane!		1993		1	NOVYE IMENA.	Aleksei Molochnik	Molochnik	Aleksei	Stikhi.		61				
1993_01_15	Gay, Slaviane!		1993		1	NOVYE IMENA.	Igor' Ravlov	Pavlov	Igor'	Stikhi.		64				
1993_01_16	Gay, Slaviane!		1993		1	REPORTAZhI IZ ZONY.	Ol'ga Zhuk	Zhuk	Ol'ga	Reportazh I. Iablonevka.		66				
1993_01_17	Gay, Slaviane!		1993		1	REPORTAZhI IZ ZONY.	Sergei Shcherbakov	Shcherbakov	Sergei	Sotsial'nye posledstviia prebyvaniia golubykh v nevole		69				
1993_01_18	Gay, Slaviane!		1993		1	PEREVODY.	Khulio Kortasar	Kortasar	Khulio	V argentinskom stile. Per. s isp. i pererabotka E. Eliseeva.		75		Per. s isp. i pererabotka E. Eliseeva		
1993_01_19	Gay, Slaviane!		1993		1	PEREVODY.	Khaints Kheger	Kheger	Khaints	Liudi s rozovym treugol'nikom. Perevod s angliiskoro izdaniia S.Shcherbakova.		77		Perevod s angliiskoro izdaniia S.Shcherbakova.		
1993_01_20	Gay, Slaviane!		1993		1	PEREVODY.	Iurgen Lemke	Lemke	Iurgen	Svad'ba po-datski. Per. s nem. E. Ershova.		93		Per. s nem. E. Ershova.		
1993_01_21	Gay, Slaviane!		1993		1	K 100-LETIIu SO DNIa ROZhDENIIa M.TsVETAEVOI.	Marina Tsvetaeva	Tsvetaeva	Marina	Pis'mo k amazonke. Per. s frants. i predslovie K. Azadovskogo. Primchanne O. Zhuk.		101		Per. s frants. i predslovie K. Azadovskogo. Primchanne O. Zhuk.		
1993_01_22	Gay, Slaviane!		1993		1	K 100-LETIIu SO DNIa ROZhDENIIa M.TsVETAEVOI.	Ol'ga Zhukh	Zhukh	Ol'ga	Pis'mo k M. Tsvetaevoi.		112				
1993_01_23	Gay, Slaviane!		1993		1	IZ NOMERA V NOMER.	Gennadii Trifonov	Trifonov	Gennadii	Dva baleta Dzhordzha Balanchina. Roman	Роман	117				
1994_01_01	Gay, Slaviane!		1994		1	NASLEDIE	Mikhail Kuzmin	Kuzmin	Mikhail	Kryl'ia. Povest'	Повесть	2		Podgotovka teksta, tekstologicheskaia spravka i biograficheskaia predystoriia A.Timofeeva.		
1994_01_02	Gay, Slaviane!		1994		1	NASLEDIE	Sofiia Parnok	Parnok	Sofiia	Stikhi. Per. s frants. i predislovie K. Azadovskogo. Primchanne O. Zhuk.		55		Predislovie S. Poliakovoi. Primechanie O. Zhuk.		
1994_01_03	Gay, Slaviane!		1994		1	LITERATURNAIa MOZAIKA	Aleksei Molochnik	Molochnik	Aleksei	"Eziia" Alekseia Molochnika i grafika Ol'gi Kaliaginoi		64				
1994_01_04	Gay, Slaviane!		1994		1	NOVYE IMENA	Dmitrii Kudriavtsev	Kudriavtsev	Dmitrii	Stikhi. Ocherk peska. Rasskaz /v soavtorstve s I. Kirsanovym/. Risunki Igoria Kirsanova.	Рассказ	71		/v soavtorstve s I. Kirsanovym/. Risunki Igoria Kirsanova.		
1994_01_05	Gay, Slaviane!		1994		1	PEREVODY	Khaints Kheger	Kheger	Khaints	Liudi s rozovym treugol'nikom. Roman. Prodolzhenie. Perevod s angl. S. Shcherbakova.	Роман	76		Prodolzhenie. Perevod s angl. S. Shcherbakova.		
1994_01_06	Gay, Slaviane!		1994		1	PUBLISTIKA.				Vashi pis'ma.		87		Vstupitel'noe slovo i publikatsiia O. Krauze.		
1994_01_07	Gay, Slaviane!		1994		1	PUBLISTIKA.				"Raduzhnye" sem'i polny radosti. Interv'iu. Perevod s angl. S. Shcherbakova.	Интервью	90		Perevod s angl. S. Shcherbakova.		
1994_01_08	Gay, Slaviane!		1994		1	IZ NOMERA V NOMER	Gennadii Trifonov	Trifonov	Gennadii	Dva baleta Dzhordzha Balanchina. Roman. Prodolzhenie.	Роман	93		Prodolzhenie.		
