Issue #	Year	Source	Section	Original Citation	Circulation	Publisher	Pages	Annotation of issue
1	1995	http://az.gay.ru/books/magazines/uranus.html		Э.Шнабль, К.Штарк, "Гомосексуализм"			82	Почему "Уранус"? Уранус - в переводе с древнегреческого - небо, голубое небо. УРАН - БОГ НЕБА. Цель журнала "Уранус" - сделать достоянием широкой читательской аудитории поэтические и прозаические произведения, работы живописцев и фотохудожников, а также публицистические изыскания на темы, волнующие современное розово-голубое сообщество. Журнал "Уранус" - цветной, 82 стр. Модели - только российские парни.
1	1995	http://az.gay.ru/books/magazines/uranus.html		У.Мастерс, В.Джонсон, "Экскурс в историю"			82	Почему "Уранус"? Уранус - в переводе с древнегреческого - небо, голубое небо. УРАН - БОГ НЕБА. Цель журнала "Уранус" - сделать достоянием широкой читательской аудитории поэтические и прозаические произведения, работы живописцев и фотохудожников, а также публицистические изыскания на темы, волнующие современное розово-голубое сообщество. Журнал "Уранус" - цветной, 82 стр. Модели - только российские парни.
1	1995	http://az.gay.ru/books/magazines/uranus.html		Петроний, "Сатирикон"			82	Почему "Уранус"? Уранус - в переводе с древнегреческого - небо, голубое небо. УРАН - БОГ НЕБА. Цель журнала "Уранус" - сделать достоянием широкой читательской аудитории поэтические и прозаические произведения, работы живописцев и фотохудожников, а также публицистические изыскания на темы, волнующие современное розово-голубое сообщество. Журнал "Уранус" - цветной, 82 стр. Модели - только российские парни.
1	1995	http://az.gay.ru/books/magazines/uranus.html		Людвиг II Баварский из династии Виттельсбахов			82	Почему "Уранус"? Уранус - в переводе с древнегреческого - небо, голубое небо. УРАН - БОГ НЕБА. Цель журнала "Уранус" - сделать достоянием широкой читательской аудитории поэтические и прозаические произведения, работы живописцев и фотохудожников, а также публицистические изыскания на темы, волнующие современное розово-голубое сообщество. Журнал "Уранус" - цветной, 82 стр. Модели - только российские парни.
1	1995	http://az.gay.ru/books/magazines/uranus.html		Леопольд фон Захер-Мазох, "Приключение с Людвигом II"			82	Почему "Уранус"? Уранус - в переводе с древнегреческого - небо, голубое небо. УРАН - БОГ НЕБА. Цель журнала "Уранус" - сделать достоянием широкой читательской аудитории поэтические и прозаические произведения, работы живописцев и фотохудожников, а также публицистические изыскания на темы, волнующие современное розово-голубое сообщество. Журнал "Уранус" - цветной, 82 стр. Модели - только российские парни.
1	1995	http://az.gay.ru/books/magazines/uranus.html		В.Розанов, "Загадка Гоголя"			82	Почему "Уранус"? Уранус - в переводе с древнегреческого - небо, голубое небо. УРАН - БОГ НЕБА. Цель журнала "Уранус" - сделать достоянием широкой читательской аудитории поэтические и прозаические произведения, работы живописцев и фотохудожников, а также публицистические изыскания на темы, волнующие современное розово-голубое сообщество. Журнал "Уранус" - цветной, 82 стр. Модели - только российские парни.
1	1995	http://az.gay.ru/books/magazines/uranus.html		М.Аникеев, "В Содоме не было содомского греха"			82	Почему "Уранус"? Уранус - в переводе с древнегреческого - небо, голубое небо. УРАН - БОГ НЕБА. Цель журнала "Уранус" - сделать достоянием широкой читательской аудитории поэтические и прозаические произведения, работы живописцев и фотохудожников, а также публицистические изыскания на темы, волнующие современное розово-голубое сообщество. Журнал "Уранус" - цветной, 82 стр. Модели - только российские парни.
1	1995	http://az.gay.ru/books/magazines/uranus.html		Люди были загнаны в туалеты, и от этого их культура - туалетная			82	Почему "Уранус"? Уранус - в переводе с древнегреческого - небо, голубое небо. УРАН - БОГ НЕБА. Цель журнала "Уранус" - сделать достоянием широкой читательской аудитории поэтические и прозаические произведения, работы живописцев и фотохудожников, а также публицистические изыскания на темы, волнующие современное розово-голубое сообщество. Журнал "Уранус" - цветной, 82 стр. Модели - только российские парни.
1	1995	http://az.gay.ru/books/magazines/uranus.html		Анонс художника С.Грекова			82	Почему "Уранус"? Уранус - в переводе с древнегреческого - небо, голубое небо. УРАН - БОГ НЕБА. Цель журнала "Уранус" - сделать достоянием широкой читательской аудитории поэтические и прозаические произведения, работы живописцев и фотохудожников, а также публицистические изыскания на темы, волнующие современное розово-голубое сообщество. Журнал "Уранус" - цветной, 82 стр. Модели - только российские парни.
1	1995	http://az.gay.ru/books/magazines/uranus.html		Евгений Попов, "Водоем"			82	Почему "Уранус"? Уранус - в переводе с древнегреческого - небо, голубое небо. УРАН - БОГ НЕБА. Цель журнала "Уранус" - сделать достоянием широкой читательской аудитории поэтические и прозаические произведения, работы живописцев и фотохудожников, а также публицистические изыскания на темы, волнующие современное розово-голубое сообщество. Журнал "Уранус" - цветной, 82 стр. Модели - только российские парни.
1	1995	http://az.gay.ru/books/magazines/uranus.html		М.Аникеев, глава из "Оплеухи"			82	Почему "Уранус"? Уранус - в переводе с древнегреческого - небо, голубое небо. УРАН - БОГ НЕБА. Цель журнала "Уранус" - сделать достоянием широкой читательской аудитории поэтические и прозаические произведения, работы живописцев и фотохудожников, а также публицистические изыскания на темы, волнующие современное розово-голубое сообщество. Журнал "Уранус" - цветной, 82 стр. Модели - только российские парни.
1	1995	http://az.gay.ru/books/magazines/uranus.html		Жан Поль Сартр, "Детство хозяина"			82	Почему "Уранус"? Уранус - в переводе с древнегреческого - небо, голубое небо. УРАН - БОГ НЕБА. Цель журнала "Уранус" - сделать достоянием широкой читательской аудитории поэтические и прозаические произведения, работы живописцев и фотохудожников, а также публицистические изыскания на темы, волнующие современное розово-голубое сообщество. Журнал "Уранус" - цветной, 82 стр. Модели - только российские парни.
1	1995	http://az.gay.ru/books/magazines/uranus.html		Станислав Лем, "Секспровал"			82	Почему "Уранус"? Уранус - в переводе с древнегреческого - небо, голубое небо. УРАН - БОГ НЕБА. Цель журнала "Уранус" - сделать достоянием широкой читательской аудитории поэтические и прозаические произведения, работы живописцев и фотохудожников, а также публицистические изыскания на темы, волнующие современное розово-голубое сообщество. Журнал "Уранус" - цветной, 82 стр. Модели - только российские парни.
